280,23.36,360.50
281,21.98,355.50
282,22.75,333.25
283,24.30,338.25
284,23.23,340.75
285,23.36,350.50
286,22.36,338.25
287,22.62,314.75
288,22.25,322.25
289,24.00,323.00
290,22.67,368.75
291,23.44,390.25
292,24.38,327.25
293,24.25,332.00
294,22.59,322.00
295,23.70,291.25
296,22.34,313.25
297,22.89,316.00
298,23.05,304.50
299,23.45,316.75
300,24.19,422.50
301,22.59,372.75
302,24.22,335.50
303,22.55,333.25
304,24.50,442.25
305,23.50,325.50
306,23.09,428.25
307,21.62,325.25
308,22.14,342.75
309,22.97,300.50
310,23.27,334.75
311,23.41,301.50
312,22.83,296.25
313,24.95,364.75
314,25.02,359.75
315,23.61,343.50
316,22.83,273.50
317,24.20,415.50
318,26.22,300.25
319,25.11,263.75
320,22.70,341.00
321,23.62,394.75
322,23.56,373.75
323,23.45,266.25
324,24.55,328.50
325,22.75,313.50
326,23.33,332.25
327,23.25,321.75
328,23.52,365.00
329,23.25,297.50
330,23.12,372.75
331,21.78,291.00
332,23.36,311.75
333,24.12,286.00
334,22.86,310.25
335,23.16,307.25
336,21.98,340.25
337,22.14,250.25
338,24.86,322.25
339,24.77,412.50
340,22.83,391.50
341,21.42,281.25
342,23.17,377.25
343,23.83,350.00
344,24.16,334.25
345,22.72,363.25
346,24.50,367.25
347,21.27,311.25
348,22.59,357.25
349,24.12,368.00
350,22.70,297.00
351,23.64,434.25
352,22.08,385.00
353,26.08,383.75
354,22.86,328.50
355,21.56,262.50
356,23.45,337.50
357,22.14,322.25
358,22.41,299.50
359,23.53,276.00
360,21.36,281.50
361,22.56,289.75
362,22.23,298.50
363,22.41,291.50
364,24.14,323.50
365,20.33,273.00
366,22.91,329.75
367,22.38,307.75
368,22.17,239.12
369,24.08,305.75
370,23.11,243.62
371,22.52,308.25
372,22.84,232.50
373,23.81,303.25
374,24.53,242.88
375,22.09,296.25
376,22.47,270.00
377,22.38,275.00
378,23.88,278.00
379,22.14,318.00
380,21.77,310.75
381,21.83,306.00
382,23.55,336.50
383,23.28,321.25
384,22.12,303.75
385,24.28,287.75
386,24.20,266.50
387,21.89,319.75
388,24.27,314.50
389,22.30,312.75
390,24.56,267.00
391,22.77,277.75
392,23.27,332.50
393,23.14,277.75
394,22.75,262.75
395,23.81,298.50
396,22.61,276.75
397,21.75,302.75
398,21.89,325.75
399,22.59,368.50
400,23.77,271.00
401,21.09,277.25
402,21.47,348.75
403,23.73,323.00
404,21.62,315.75
405,21.88,279.00
406,24.61,349.75
407,23.44,281.50
408,23.47,301.50
409,22.91,305.75
410,22.81,241.75
411,20.92,261.50
412,24.05,315.75
413,23.30,240.50
414,20.86,286.25
415,22.52,296.75
416,22.28,320.00
417,22.11,275.75
418,21.73,246.25
419,24.58,301.75
420,22.64,287.75
421,22.41,304.75
422,23.36,266.00
423,27.59,249.50
424,22.81,315.00
425,24.09,351.75
426,22.06,278.50
427,21.55,288.00
428,23.72,310.25
429,21.33,256.75
430,23.28,293.00
431,22.45,312.25
432,39.53,314.00
433,27.11,259.25
434,24.16,278.75
435,24.44,255.00
436,23.75,273.00
437,23.39,367.75
438,23.59,313.50
439,23.62,290.50
440,23.39,241.38
441,22.91,286.00
442,22.52,272.75
443,23.75,277.00
444,24.25,248.75
445,24.33,295.25
446,22.33,342.00
447,23.98,222.75
448,24.36,270.00
449,22.11,378.25
450,23.83,369.50
451,23.22,298.50
452,22.02,240.62
453,21.64,297.50
454,23.03,321.00
455,21.16,307.00
456,22.61,282.50
457,22.14,263.00
458,21.91,288.25
459,22.62,269.75
460,22.23,283.50
461,22.88,265.75
462,24.16,319.75
463,22.22,295.00
464,22.52,295.25
465,23.66,298.25
466,25.33,335.00
467,24.75,283.50
468,23.12,264.75
469,22.09,306.75
470,20.83,294.25
471,22.27,301.50
472,22.17,258.00
473,23.38,266.00
474,22.62,258.00
475,23.75,274.00
476,21.72,261.00
477,21.94,258.25
478,23.03,296.00
479,22.39,285.00
480,23.47,261.00
481,21.14,251.75
482,21.98,244.25
483,21.64,272.75
484,23.83,329.50
485,23.41,293.25
486,23.52,239.62
487,22.95,339.00
488,22.42,268.50
489,23.39,257.50
490,24.14,270.75
491,22.52,274.00
492,23.50,229.25
493,22.67,433.25
494,28.41,261.25
495,25.27,284.25
496,24.64,238.25
497,22.97,249.00
498,24.36,295.50
499,23.27,286.75
500,22.48,284.00
501,28.23,335.50
502,23.52,293.25
503,22.73,278.25
504,22.11,299.75
505,24.00,278.50
506,21.53,296.50
507,23.97,310.00
508,22.73,267.50
509,23.28,347.75
510,23.78,228.12
511,23.11,237.00
512,23.11,290.50
513,22.52,279.50
514,22.31,280.25
515,22.25,270.00
516,22.62,284.50
517,23.33,258.75
518,22.69,339.75
519,22.86,314.25
520,21.17,344.75
521,24.56,312.25
522,23.97,252.50
523,22.44,282.00
524,22.80,266.50
525,22.61,300.75
526,23.67,318.50
527,25.81,245.88
528,25.05,275.50
529,22.94,276.50
530,22.80,265.75
531,21.80,235.25
532,22.91,299.50
533,23.97,263.75
534,21.61,273.25
535,23.28,277.50
536,22.56,298.50
537,22.23,303.75
538,23.98,264.50
539,22.66,280.50
540,24.08,301.75
541,24.45,264.50
542,21.58,336.75
543,22.64,266.50
544,23.31,368.75
545,20.20,268.25
546,23.70,295.00
547,23.44,277.50
548,22.23,268.75
549,23.58,330.50
550,21.56,262.50
551,22.75,285.50
552,21.56,243.38
553,23.91,309.25
554,23.03,281.00
555,22.72,346.25
556,22.58,273.00
557,22.56,341.50
558,20.86,252.50
559,22.09,268.00
560,21.47,275.25
561,22.44,261.25
562,23.23,302.75
563,23.16,259.50
564,23.08,291.75
565,21.42,292.25
566,22.73,274.50
567,21.66,225.00
568,22.91,281.25
569,23.84,260.75
570,22.28,241.00
571,22.08,291.75
572,21.70,299.25
573,21.47,283.50
574,22.64,251.25
575,33.81,240.62
576,24.39,238.75
577,24.70,259.00
578,24.14,235.00
579,20.66,278.75
580,22.50,224.75
581,21.98,228.38
582,22.73,248.00
583,22.86,275.75
584,22.98,256.50
585,21.22,252.88
586,22.56,322.50
587,24.70,247.62
588,20.97,237.50
589,22.89,258.00
590,21.09,282.25
